d_3p_del,d_5p_del,d_gene,count
0,20,IGHD3-16*01,1
2,11,IGHD3/OR15-3b*01,5
11,4,IGHD3-22*01,17
7,16,IGHD3-3*02,4
8,13,IGHD3-10*02,16
7,4,IGHD3-3*02,2
2,11,IGHD5-12*01,2
3,7,IGHD3/OR15-3b*01,7
12,6,IGHD3-16*02,9
6,6,IGHD2-8*01,8
6,2,IGHD2/OR15-2b*01,9
6,13,IGHD2-21*01,1
6,2,IGHD2-2*03,63
7,3,IGHD1/OR15-1b*01,1
7,5,IGHD3-10*02,7
5,1,IGHD6-13*01,11
0,2,IGHD4-23*01,17
8,0,IGHD1-14*01,13
5,10,IGHD3-10*01,132
8,9,IGHD2-8*02,1
0,7,IGHD2/OR15-2b*01,4
17,2,IGHD2-2*03,2
2,4,IGHD4/OR15-4b*01,3
5,9,IGHD2-2*03,8
3,21,IGHD2-15*01,1
2,5,IGHD3-10*01,31
7,4,IGHD3-10*02,3
2,7,IGHD4/OR15-4b*01,3
1,4,IGHD2-2*03,32
0,8,IGHD4-17*01,1
16,1,IGHD3-16*02,7
11,6,IGHD2-2*03,3
16,11,IGHD3-16*02,12
1,6,IGHD5-12*01,6
7,7,IGHD2-8*02,2
2,14,IGHD2-21*02,10
0,2,IGHD3-9*01,6
0,0,IGHD1-7*01,35
3,0,IGHD3-22*01,66
11,8,IGHD3-9*01,1
6,12,IGHD2-8*02,2
1,6,IGHD2-15*01,97
12,5,IGHD3/OR15-3b*01,1
2,12,IGHD2-8*01,3
13,0,IGHD2/OR15-2b*01,1
17,3,IGHD3-22*01,3
8,11,IGHD3-10*02,19
11,4,IGHD5/OR15-5b*01,3
9,2,IGHD2-21*01,1
11,16,IGHD3-16*02,10
8,10,IGHD2-15*01,3
18,1,IGHD3-9*01,2
5,9,IGHD2-21*01,3
1,7,IGHD4/OR15-4b*01,1
3,11,IGHD3-16*02,1
3,5,IGHD3-16*02,2
0,5,IGHD1-7*01,42
0,6,IGHD2-8*01,1
1,4,IGHD6-6*01,19
15,4,IGHD3-10*01,6
14,13,IGHD3-16*02,34
2,1,IGHD1-7*01,2
1,9,IGHD3-9*01,2
2,9,IGHD3-3*02,3
5,7,IGHD3-16*01,6
7,0,IGHD3-16*01,14
2,11,IGHD2-15*01,10
11,1,IGHD1-26*01,2
13,2,IGHD2-15*01,7
8,4,IGHD2-8*02,1
10,12,IGHD2/OR15-2b*01,1
2,9,IGHD5/OR15-5b*01,3
0,4,IGHD1-20*01,20
2,7,IGHD2-2*02,27
0,8,IGHD1-20*01,7
18,1,IGHD3-10*02,4
1,11,IGHD5-24*01,6
7,2,IGHD3/OR15-3b*01,1
2,7,IGHD4-23*01,14
2,19,IGHD3/OR15-3b*01,6
13,1,IGHD2-8*01,7
13,4,IGHD3-22*01,5
2,21,IGHD2-15*01,1
6,2,IGHD3-3*02,3
6,0,IGHD1-14*01,8
3,5,IGHD4-17*01,11
20,0,IGHD2/OR15-2b*01,1
8,5,IGHD3-9*01,26
12,4,IGHD3/OR15-3b*01,2
8,11,IGHD3-9*01,13
4,1,IGHD2-8*01,2
13,1,IGHD3-16*02,8
14,5,IGHD3-10*02,2
13,7,IGHD3-16*02,25
3,9,IGHD3-3*02,9
1,21,IGHD3-16*02,1
1,19,IGHD3-16*02,5
7,7,IGHD3-3*01,14
8,6,IGHD2-8*02,1
1,13,IGHD2-15*01,7
0,8,IGHD2-8*02,6
12,2,IGHD2-15*01,19
25,1,IGHD2/OR15-2b*01,2
12,12,IGHD3-3*02,3
17,4,IGHD3-22*01,6
8,4,IGHD6-6*01,3
0,0,IGHD1-14*01,12
12,0,IGHD3-3*02,3
0,4,IGHD4/OR15-4b*01,5
1,15,IGHD3/OR15-3b*01,7
3,2,IGHD2-15*01,78
13,0,IGHD3-3*01,12
6,7,IGHD5-12*01,7
8,7,IGHD3-16*01,7
1,1,IGHD2-2*02,41
18,3,IGHD2-8*01,1
4,5,IGHD6-19*01,15
15,9,IGHD3-10*02,1
1,17,IGHD5/OR15-5b*01,2
2,13,IGHD5/OR15-5b*01,1
5,4,IGHD3-10*01,122
5,1,IGHD4-4*01,20
1,16,IGHD2-21*02,3
25,0,IGHD2/OR15-2b*01,3
0,7,IGHD1-14*01,41
11,17,IGHD2-2*03,3
1,23,IGHD2-15*01,1
13,7,IGHD3-10*01,28
13,4,IGHD5/OR15-5b*01,1
0,19,IGHD2-2*02,7
13,9,IGHD2-15*01,2
15,7,IGHD3-22*01,1
3,11,IGHD6-25*01,1
17,0,IGHD5/OR15-5b*01,8
8,18,IGHD3-16*02,13
11,6,IGHD3-22*01,12
2,5,IGHD6-25*01,3
0,27,IGHD3-16*02,6
15,3,IGHD3-3*01,8
17,1,IGHD2-8*02,2
0,5,IGHD3-16*02,4
0,15,IGHD3-16*02,11
2,6,IGHD6-19*01,62
1,6,IGHD3/OR15-3b*01,5
9,1,IGHD6-13*01,1
0,3,IGHD3-16*01,1
7,13,IGHD2-15*01,8
2,16,IGHD3/OR15-3b*01,3
0,1,IGHD4-4*01,75
1,3,IGHD4/OR15-4b*01,5
2,0,IGHD2-21*01,8
7,1,IGHD2-15*01,84
1,1,IGHD5-24*01,17
13,9,IGHD3-22*01,7
16,5,IGHD3-22*01,4
3,4,IGHD6-13*01,97
17,1,IGHD3-10*02,8
2,4,IGHD1-20*01,17
1,3,IGHD6-19*01,177
2,10,IGHD1-20*01,2
8,1,IGHD3/OR15-3b*01,4
6,13,IGHD2/OR15-2b*01,6
23,1,IGHD3-9*01,10
9,1,IGHD2-21*01,11
18,0,IGHD3-10*02,8
4,5,IGHD2-8*02,6
13,3,IGHD3-9*01,5
13,4,IGHD5-24*01,2
0,4,IGHD1-1*01,23
4,6,IGHD2-2*03,26
4,7,IGHD2-2*03,84
0,18,IGHD2-21*01,7
0,21,IGHD2-15*01,2
14,1,IGHD2-2*03,6
0,13,IGHD2-8*02,3
7,15,IGHD3/OR15-3b*01,6
4,5,IGHD1-26*01,23
4,21,IGHD3-16*02,2
11,5,IGHD3-10*01,37
6,8,IGHD3-9*01,3
3,15,IGHD3-22*01,28
11,6,IGHD2-8*02,6
20,1,IGHD3-3*01,8
1,5,IGHD7-27*01,2
18,6,IGHD3-3*01,1
4,6,IGHD4-23*01,29
3,17,IGHD2-15*01,4
3,15,IGHD3-16*01,29
6,5,IGHD5/OR15-5b*01,6
14,2,IGHD2-8*02,4
12,12,IGHD2-8*01,1
11,3,IGHD2-21*02,13
13,1,IGHD6-25*01,1
5,9,IGHD2-8*02,1
4,2,IGHD3-10*02,2
7,14,IGHD2-8*01,3
4,18,IGHD2/OR15-2b*01,2
3,13,IGHD3-16*02,8
0,3,IGHD3/OR15-3b*01,1
8,3,IGHD6-13*01,15
5,0,IGHD1-1*01,8
16,4,IGHD3-3*02,1
6,5,IGHD3-3*02,7
3,20,IGHD3-16*01,2
0,7,IGHD6-25*01,11
1,4,IGHD7-27*01,23
13,0,IGHD3-10*02,2
8,2,IGHD2-2*03,7
6,2,IGHD5/OR15-5b*01,4
15,6,IGHD3-3*02,2
0,1,IGHD4-23*01,103
2,16,IGHD3-9*01,1
0,27,IGHD2/OR15-2b*01,1
8,7,IGHD1-14*01,1
10,6,IGHD2/OR15-2b*01,1
11,3,IGHD3-10*01,80
0,8,IGHD2-21*01,4
7,15,IGHD3-16*01,13
5,6,IGHD3-3*01,41
14,3,IGHD2-2*03,2
3,9,IGHD5/OR15-5b*01,2
0,15,IGHD2-8*02,9
0,6,IGHD1-20*01,39
2,7,IGHD5-5*01,5
0,0,IGHD1-20*01,26
6,10,IGHD3/OR15-3b*01,4
8,1,IGHD2-2*03,8
1,6,IGHD4-17*01,23
5,2,IGHD1-14*01,5
1,24,IGHD2-8*02,1
4,7,IGHD3/OR15-3b*01,14
4,1,IGHD2-21*02,25
0,2,IGHD3-10*01,27
2,3,IGHD2-15*01,13
0,17,IGHD2-21*01,5
8,2,IGHD2-21*02,10
16,0,IGHD3-22*01,11
2,11,IGHD3-16*02,6
3,16,IGHD2-8*02,5
0,5,IGHD6-25*01,22
3,7,IGHD3-9*01,33
3,4,IGHD2-21*02,10
2,5,IGHD3-9*01,14
2,13,IGHD5-24*01,2
1,14,IGHD2-8*01,1
15,0,IGHD3-3*02,3
15,2,IGHD3-10*01,3
0,0,IGHD3-3*02,3
4,18,IGHD2-21*02,1
7,3,IGHD2-2*03,47
3,7,IGHD5-5*01,12
0,11,IGHD2-2*02,65
7,11,IGHD3-10*02,10
11,5,IGHD3-3*01,6
15,6,IGHD3-22*01,5
0,4,IGHD5-12*01,9
26,0,IGHD3/OR15-3b*01,1
4,6,IGHD3-3*01,12
0,4,IGHD3/OR15-3b*01,9
24,0,IGHD2-2*03,1
3,2,IGHD2-21*02,12
5,4,IGHD2-8*01,2
8,0,IGHD1-26*01,13
8,16,IGHD3-16*01,11
2,7,IGHD6-13*01,85
1,5,IGHD2-15*01,31
0,15,IGHD2-21*02,3
1,8,IGHD1/OR15-1b*01,1
2,7,IGHD3-9*01,9
0,16,IGHD2-21*02,5
8,5,IGHD3-10*01,65
5,13,IGHD3-16*02,9
15,1,IGHD3-22*01,14
12,9,IGHD3-16*02,1
12,19,IGHD3-16*02,1
3,14,IGHD2-8*01,2
2,7,IGHD3/OR15-3b*01,10
8,9,IGHD3-10*02,9
5,6,IGHD1/OR15-1b*01,2
3,8,IGHD1-14*01,1
0,7,IGHD3-16*02,6
6,3,IGHD3-3*01,39
14,5,IGHD2-8*02,2
6,11,IGHD2-8*02,16
2,9,IGHD4-23*01,1
2,2,IGHD1-1*01,14
6,6,IGHD3-10*01,148
1,10,IGHD3-3*02,8
24,0,IGHD2-8*02,2
2,10,IGHD3-3*02,2
2,2,IGHD1-20*01,4
3,16,IGHD2-2*03,10
5,5,IGHD6-19*01,8
8,0,IGHD3-10*02,4
4,0,IGHD6-6*01,36
4,1,IGHD1-26*01,13
4,9,IGHD2-8*02,2
7,7,IGHD1-26*01,2
9,7,IGHD3-22*01,27
0,2,IGHD4-4*01,61
7,3,IGHD2-8*02,4
1,9,IGHD5-5*01,10
0,5,IGHD3-3*02,3
7,5,IGHD2-15*01,14
4,6,IGHD6-19*01,32
6,5,IGHD6-19*01,10
3,12,IGHD2-2*02,4
12,0,IGHD5-5*01,3
2,11,IGHD6-25*01,5
18,3,IGHD3-10*02,1
3,11,IGHD5-5*01,1
2,0,IGHD3-10*01,65
8,13,IGHD3-16*01,4
15,15,IGHD3-16*02,4
5,5,IGHD3-3*02,3
15,1,IGHD3-16*02,5
17,1,IGHD2-21*02,1
12,9,IGHD3-22*01,4
12,4,IGHD3-3*01,2
1,0,IGHD6-6*01,90
3,3,IGHD3-10*01,75
4,0,IGHD2/OR15-2b*01,1
0,11,IGHD4/OR15-4b*01,2
10,9,IGHD3-16*02,1
3,22,IGHD3-16*01,1
0,8,IGHD3-10*01,44
0,16,IGHD2-2*03,4
3,28,IGHD3-16*01,3
0,5,IGHD4-23*01,29
3,10,IGHD3-3*02,7
3,1,IGHD4/OR15-4b*01,18
2,17,IGHD2-8*02,2
5,4,IGHD4/OR15-4b*01,6
12,10,IGHD3-22*01,4
16,7,IGHD2-15*01,4
0,3,IGHD4-23*01,54
13,4,IGHD2-21*02,2
6,11,IGHD6-19*01,3
0,7,IGHD3-3*02,5
16,2,IGHD5/OR15-5b*01,1
7,7,IGHD3-16*01,2
6,3,IGHD2/OR15-2b*01,2
7,8,IGHD2-2*03,13
15,0,IGHD4/OR15-4b*01,2
12,9,IGHD3-3*02,1
1,14,IGHD2-2*03,12
2,3,IGHD1/OR15-1b*01,3
17,6,IGHD3/OR15-3b*01,6
16,7,IGHD3-10*01,1
13,1,IGHD3-3*02,2
12,7,IGHD2-21*02,1
5,6,IGHD6-19*01,23
5,5,IGHD5-12*01,29
10,14,IGHD3-9*01,1
9,3,IGHD5-5*01,20
3,17,IGHD2-21*01,3
7,4,IGHD2-8*02,4
13,3,IGHD2-21*02,4
13,7,IGHD2/OR15-2b*01,1
5,15,IGHD3/OR15-3b*01,6
13,9,IGHD3-10*01,12
16,6,IGHD2-21*02,1
4,2,IGHD4/OR15-4b*01,1
7,16,IGHD2/OR15-2b*01,1
6,2,IGHD3-16*02,6
19,5,IGHD3-22*01,2
0,17,IGHD2-2*02,5
4,5,IGHD4-23*01,8
6,3,IGHD5-24*01,24
3,7,IGHD2-2*02,1
13,6,IGHD2-21*02,1
10,1,IGHD3-9*01,54
9,4,IGHD3/OR15-3b*01,6
11,1,IGHD2/OR15-2b*01,8
8,2,IGHD5-5*01,18
2,5,IGHD5/OR15-5b*01,13
1,2,IGHD2-21*01,18
7,1,IGHD2-21*02,31
15,0,IGHD3-22*01,31
11,6,IGHD2-21*02,15
8,4,IGHD3-16*01,5
2,5,IGHD3-3*02,2
13,5,IGHD2-21*02,15
14,1,IGHD3/OR15-3b*01,2
1,3,IGHD6-13*01,93
1,9,IGHD3-16*02,3
0,13,IGHD1-14*01,2
4,11,IGHD3-9*01,4
2,10,IGHD5/OR15-5b*01,1
11,8,IGHD2-15*01,4
15,12,IGHD3-9*01,1
5,14,IGHD5/OR15-5b*01,1
12,1,IGHD3-16*02,14
1,9,IGHD5-24*01,3
5,14,IGHD3-9*01,4
5,6,IGHD3-16*01,1
18,0,IGHD2-2*02,1
5,15,IGHD2-2*03,20
2,5,IGHD4-23*01,6
13,9,IGHD2-8*01,2
1,3,IGHD6-6*01,34
5,14,IGHD3-3*02,24
4,0,IGHD3-10*02,2
6,6,IGHD3-3*02,10
4,9,IGHD3-10*01,50
21,6,IGHD3-16*02,2
10,3,IGHD3-10*02,14
15,2,IGHD3-9*01,8
0,9,IGHD2-15*01,6
15,2,IGHD5/OR15-5b*01,1
5,5,IGHD5/OR15-5b*01,4
5,0,IGHD3-9*01,37
2,9,IGHD2-21*01,1
1,2,IGHD4/OR15-4b*01,4
16,4,IGHD3-16*02,2
10,1,IGHD5-5*01,2
16,14,IGHD3-16*02,6
2,1,IGHD3-10*01,72
14,1,IGHD3-22*01,19
6,11,IGHD3-9*01,6
6,10,IGHD2-2*03,12
2,6,IGHD4-23*01,22
10,2,IGHD3-10*01,109
1,1,IGHD7-27*01,20
6,0,IGHD4/OR15-4b*01,8
0,8,IGHD2-2*03,10
4,4,IGHD6-6*01,7
3,3,IGHD1/OR15-1b*01,9
10,6,IGHD2-2*03,22
6,0,IGHD1/OR15-1b*01,7
11,21,IGHD3-16*02,1
6,1,IGHD1-14*01,1
3,6,IGHD3-22*01,84
5,2,IGHD6-25*01,2
12,6,IGHD3/OR15-3b*01,4
8,3,IGHD2-15*01,3
3,6,IGHD3-16*02,1
1,18,IGHD3-16*01,3
13,8,IGHD2-15*01,7
4,5,IGHD3/OR15-3b*01,12
4,0,IGHD1-26*01,31
9,5,IGHD2-2*03,14
3,6,IGHD5-5*01,21
1,1,IGHD6-19*01,122
14,3,IGHD3-10*01,20
21,0,IGHD2-2*03,1
3,6,IGHD6-13*01,110
9,3,IGHD3-3*01,47
3,13,IGHD2-2*03,25
0,7,IGHD4-23*01,51
2,3,IGHD3-10*01,41
11,12,IGHD3/OR15-3b*01,8
1,1,IGHD2/OR15-2b*01,2
6,4,IGHD5-12*01,6
3,19,IGHD3-16*01,5
2,9,IGHD2-8*01,1
1,5,IGHD6-13*01,44
1,2,IGHD2-2*02,18
6,5,IGHD4-23*01,3
14,6,IGHD2-21*02,1
7,0,IGHD3-10*01,124
3,10,IGHD2-2*03,20
6,4,IGHD4-23*01,5
0,9,IGHD3/OR15-3b*01,11
1,9,IGHD6-25*01,2
10,8,IGHD3-10*02,5
1,9,IGHD2-21*01,9
1,5,IGHD5-12*01,3
6,11,IGHD3-10*02,33
9,14,IGHD2/OR15-2b*01,1
6,15,IGHD3-3*02,3
14,3,IGHD3-16*02,13
4,5,IGHD5-5*01,34
2,14,IGHD3-16*02,2
4,1,IGHD4-23*01,41
7,6,IGHD2-21*01,15
12,4,IGHD2-15*01,2
10,1,IGHD5-12*01,14
0,13,IGHD2-21*02,19
23,5,IGHD3/OR15-3b*01,1
5,19,IGHD2/OR15-2b*01,2
4,7,IGHD4-23*01,3
2,7,IGHD6-19*01,88
5,9,IGHD3-10*02,8
3,8,IGHD2-15*01,19
2,4,IGHD1-14*01,8
1,2,IGHD2-8*01,5
12,15,IGHD3-3*02,1
11,6,IGHD3-10*02,4
1,20,IGHD3-16*01,3
3,4,IGHD6-6*01,13
16,2,IGHD3-9*01,1
3,6,IGHD2/OR15-2b*01,21
5,1,IGHD2-8*02,5
18,10,IGHD3-16*02,2
6,0,IGHD2-2*02,125
3,2,IGHD5-5*01,72
0,2,IGHD2-2*02,11
3,16,IGHD3/OR15-3b*01,3
4,6,IGHD2-8*02,19
0,6,IGHD3-9*01,16
7,3,IGHD6-19*01,21
10,10,IGHD3-10*02,7
10,10,IGHD3-3*02,25
1,25,IGHD3-16*01,1
1,14,IGHD4-23*01,2
13,3,IGHD2-8*01,2
7,4,IGHD2-21*01,3
8,1,IGHD3-22*01,139
4,4,IGHD4-17*01,6
5,12,IGHD3-16*02,26
14,10,IGHD3-10*02,10
0,3,IGHD1-26*01,94
2,6,IGHD5-5*01,34
5,2,IGHD3-16*02,1
6,9,IGHD5-12*01,5
5,24,IGHD3-16*02,1
3,6,IGHD6-25*01,22
1,20,IGHD2-2*03,1
14,8,IGHD2-8*01,1
2,0,IGHD6-25*01,8
5,4,IGHD3-16*01,1
7,12,IGHD2/OR15-2b*01,1
0,24,IGHD3-16*02,8
2,0,IGHD2-15*01,8
11,2,IGHD5/OR15-5b*01,1
1,9,IGHD2-2*02,8
7,13,IGHD2-21*01,1
2,10,IGHD1-7*01,1
8,6,IGHD2/OR15-2b*01,7
0,10,IGHD2-21*02,7
14,5,IGHD3-3*01,5
0,13,IGHD6-6*01,3
2,2,IGHD3-10*01,79
5,13,IGHD3-16*01,4
7,0,IGHD3-3*01,62
2,3,IGHD1-20*01,2
5,7,IGHD3-3*01,47
2,9,IGHD1-20*01,1
18,4,IGHD3-22*01,4
5,11,IGHD2-21*01,2
6,2,IGHD3-10*01,93
0,15,IGHD3-10*02,9
17,5,IGHD3-10*02,1
0,17,IGHD3/OR15-3b*01,21
3,9,IGHD3-22*01,19
3,1,IGHD3/OR15-3b*01,3
2,2,IGHD4-23*01,5
21,2,IGHD2-8*02,1
6,7,IGHD2-21*01,1
6,8,IGHD1-26*01,3
3,6,IGHD4-4*01,4
3,3,IGHD2-15*01,56
4,16,IGHD3-16*02,2
7,5,IGHD2-21*02,32
9,0,IGHD6-19*01,16
1,1,IGHD4-17*01,44
5,10,IGHD2-21*01,2
5,2,IGHD3-10*02,2
9,7,IGHD5-12*01,5
5,10,IGHD6-25*01,2
1,4,IGHD2-15*01,119
11,0,IGHD3-9*01,53
3,14,IGHD3-16*02,4
1,16,IGHD2-15*01,6
2,4,IGHD3-10*01,50
1,1,IGHD5/OR15-5b*01,3
6,4,IGHD3/OR15-3b*01,8
6,1,IGHD6-13*01,19
16,0,IGHD3-3*01,2
2,4,IGHD2-2*03,39
1,13,IGHD2-8*01,13
7,9,IGHD2-21*01,3
3,9,IGHD3-10*01,46
11,5,IGHD2-8*01,1
0,13,IGHD3-10*02,8
6,5,IGHD2-8*01,6
3,21,IGHD3-16*01,2
2,5,IGHD1-26*01,106
8,17,IGHD3-16*01,35
0,11,IGHD6-13*01,24
0,22,IGHD2-8*02,1
2,9,IGHD2-15*01,10
3,14,IGHD2-2*02,1
2,2,IGHD5-5*01,73
10,11,IGHD3/OR15-3b*01,121
16,6,IGHD3-22*01,4
13,11,IGHD3/OR15-3b*01,22
9,2,IGHD6-19*01,5
13,2,IGHD3-3*02,2
7,4,IGHD3-16*02,32
7,14,IGHD3-16*02,10
7,16,IGHD3-16*02,19
10,4,IGHD6-19*01,1
3,19,IGHD2-2*03,2
18,1,IGHD3-3*01,9
4,6,IGHD6-25*01,12
6,5,IGHD2-2*03,72
13,13,IGHD2-2*03,1
4,2,IGHD1-26*01,4
3,4,IGHD5-12*01,17
6,3,IGHD6-13*01,12
0,24,IGHD2-15*01,1
2,6,IGHD3-16*02,4
0,20,IGHD2-15*01,30
4,3,IGHD4-23*01,30
7,0,IGHD2-8*02,2
0,6,IGHD3-10*01,44
0,18,IGHD3/OR15-3b*01,1
5,5,IGHD2/OR15-2b*01,1
19,0,IGHD2-21*02,2
6,7,IGHD3-16*01,3
26,0,IGHD2-8*02,2
5,1,IGHD5/OR15-5b*01,4
13,14,IGHD2-2*03,9
2,18,IGHD3/OR15-3b*01,2
10,10,IGHD2/OR15-2b*01,5
9,3,IGHD3-9*01,35
9,4,IGHD5-24*01,6
4,17,IGHD3-22*01,2
20,6,IGHD3/OR15-3b*01,1
6,4,IGHD2-2*03,81
2,3,IGHD2-8*02,2
1,16,IGHD3-10*02,1
15,5,IGHD3-9*01,13
11,0,IGHD4/OR15-4b*01,1
0,6,IGHD2-2*03,21
7,10,IGHD2-2*03,11
6,12,IGHD3-10*02,4
8,2,IGHD3-22*01,106
13,5,IGHD3-22*01,3
10,8,IGHD2-2*03,14
1,3,IGHD2-15*01,24
14,3,IGHD5/OR15-5b*01,2
14,3,IGHD2-8*02,2
5,2,IGHD4-4*01,1
5,4,IGHD6-19*01,5
6,24,IGHD3-16*02,1
7,7,IGHD3-10*02,2
2,1,IGHD4/OR15-4b*01,32
9,8,IGHD2-8*02,6
2,17,IGHD2/OR15-2b*01,3
0,7,IGHD1-26*01,39
1,13,IGHD1/OR15-1b*01,2
6,7,IGHD2-2*03,72
18,8,IGHD3/OR15-3b*01,1
0,5,IGHD2-2*03,31
11,1,IGHD2-21*02,13
3,11,IGHD2-8*02,3
22,3,IGHD3-9*01,5
8,20,IGHD3-16*02,6
5,10,IGHD3-16*02,4
3,14,IGHD2/OR15-2b*01,3
14,0,IGHD2-21*02,4
15,0,IGHD2-8*01,1
