d_5p_del,d_3p_del,d_gene,count
13,4,IGHD2-2*03,3
7,4,IGHD1-26*01,1
10,3,IGHD6-13*01,1
1,6,IGHD2-21*02,1
5,5,IGHD2-15*01,2
5,6,IGHD2-21*02,4
0,2,IGHD4-17*01,3
0,11,IGHD5-5*01,1
9,2,IGHD6-19*01,3
1,5,IGHD3-22*01,17
5,5,IGHD2-2*03,7
8,1,IGHD1-26*01,6
0,1,IGHD5/OR15-5b*01,1
2,4,IGHD1/OR15-1b*01,3
6,2,IGHD5-12*01,5
1,1,IGHD4/OR15-4b*01,2
6,5,IGHD3-9*01,4
8,13,IGHD2-15*01,3
5,9,IGHD4-23*01,2
0,1,IGHD5-24*01,1
6,0,IGHD1-7*01,1
0,10,IGHD3-3*01,4
1,8,IGHD3-9*01,2
5,5,IGHD5-24*01,1
3,9,IGHD4-23*01,1
3,10,IGHD3-3*01,4
5,3,IGHD2/OR15-2b*01,1
3,10,IGHD5-5*01,1
14,10,IGHD3-16*02,2
5,8,IGHD1-26*01,2
7,4,IGHD3-9*01,1
17,5,IGHD3-16*02,2
7,0,IGHD6-19*01,10
17,3,IGHD3-16*02,5
1,15,IGHD6-6*01,1
2,6,IGHD3-10*02,1
1,0,IGHD6-13*01,6
3,3,IGHD2-8*01,1
3,9,IGHD2-2*03,1
2,2,IGHD2-15*01,2
17,2,IGHD3-16*01,4
3,6,IGHD3-3*02,1
1,11,IGHD3-3*01,5
10,8,IGHD2/OR15-2b*01,1
28,0,IGHD2/OR15-2b*01,9
4,8,IGHD3-22*01,3
0,7,IGHD3-3*01,21
24,0,IGHD2/OR15-2b*01,2
8,13,IGHD3-10*02,1
11,3,IGHD2-15*01,5
20,6,IGHD2/OR15-2b*01,1
10,0,IGHD3-10*01,1
11,11,IGHD3-3*02,1
2,13,IGHD2-21*02,1
7,13,IGHD2-21*02,1
7,0,IGHD1-14*01,1
2,4,IGHD4-17*01,4
12,11,IGHD3-9*01,1
3,7,IGHD3/OR15-3b*01,1
2,13,IGHD2-15*01,1
1,1,IGHD1-26*01,5
6,7,IGHD3-10*01,14
3,6,IGHD5/OR15-5b*01,1
1,3,IGHD3-10*02,3
6,2,IGHD2-2*03,2
6,2,IGHD4-17*01,2
4,14,IGHD2-15*01,1
19,0,IGHD3-22*01,1
0,0,IGHD1-1*01,8
5,2,IGHD2/OR15-2b*01,1
3,14,IGHD2-21*02,2
12,7,IGHD2-21*01,1
0,7,IGHD2-15*01,1
2,0,IGHD5-12*01,2
5,1,IGHD6-13*01,2
0,10,IGHD3-9*01,14
3,6,IGHD2-2*03,3
0,2,IGHD4-23*01,1
10,5,IGHD3-3*02,1
0,3,IGHD6-6*01,1
2,7,IGHD3-3*01,7
14,7,IGHD2-15*01,4
13,6,IGHD2-2*03,5
9,9,IGHD3-22*01,1
8,0,IGHD1-14*01,1
9,0,IGHD6-13*01,2
5,11,IGHD3-3*02,1
3,15,IGHD5/OR15-5b*01,1
0,11,IGHD3-22*01,8
5,10,IGHD3-10*01,15
8,9,IGHD2-8*02,2
5,11,IGHD2-21*02,1
0,6,IGHD4-23*01,2
5,18,IGHD3-22*01,1
1,5,IGHD5/OR15-5b*01,1
12,1,IGHD2-8*01,1
6,2,IGHD5-24*01,5
4,4,IGHD2-2*03,6
5,7,IGHD5-5*01,1
0,9,IGHD1/OR15-1b*01,1
4,0,IGHD3-9*01,2
2,4,IGHD2-21*01,2
10,1,IGHD1-7*01,1
11,11,IGHD3-10*02,6
14,0,IGHD2-15*01,6
5,9,IGHD5-5*01,1
12,11,IGHD3/OR15-3b*01,2
0,19,IGHD3-10*01,2
1,4,IGHD2-2*03,6
6,6,IGHD3-16*02,2
2,6,IGHD3-9*01,4
1,9,IGHD3-10*02,2
6,12,IGHD3-16*02,2
6,1,IGHD3-16*02,1
16,9,IGHD2-15*01,1
13,0,IGHD2-8*02,1
11,6,IGHD2/OR15-2b*01,2
11,6,IGHD2-2*03,1
16,11,IGHD3-16*02,2
7,7,IGHD2-8*02,1
1,11,IGHD4-23*01,1
3,16,IGHD2-15*01,1
3,4,IGHD2-8*02,1
3,4,IGHD6-25*01,1
0,2,IGHD3-9*01,3
3,7,IGHD2-2*03,1
1,0,IGHD6-19*01,5
12,3,IGHD2-8*01,2
3,0,IGHD3-22*01,15
0,4,IGHD6-13*01,6
1,6,IGHD2-15*01,8
7,14,IGHD3/OR15-3b*01,1
5,4,IGHD4-4*01,1
2,12,IGHD2-8*01,1
4,7,IGHD6-13*01,1
1,8,IGHD3/OR15-3b*01,2
1,8,IGHD3-10*02,2
3,0,IGHD7-27*01,13
11,2,IGHD2-8*01,1
9,0,IGHD3-10*01,2
2,6,IGHD1-26*01,1
5,2,IGHD2-21*02,1
11,16,IGHD3-16*02,4
1,4,IGHD3-16*01,1
6,4,IGHD7-27*01,17
2,0,IGHD3-16*02,1
4,3,IGHD3-9*01,4
0,3,IGHD6-19*01,18
4,9,IGHD3-9*01,2
7,0,IGHD1-26*01,6
4,5,IGHD4-23*01,1
11,7,IGHD3-9*01,2
2,4,IGHD1-1*01,1
1,27,IGHD2/OR15-2b*01,3
1,13,IGHD2-8*02,3
13,5,IGHD3/OR15-3b*01,2
10,5,IGHD5-12*01,1
2,5,IGHD3-3*01,8
10,10,IGHD2-15*01,1
5,6,IGHD5-24*01,8
19,4,IGHD3/OR15-3b*01,4
4,0,IGHD1-7*01,1
6,9,IGHD3-10*02,1
9,11,IGHD3-9*01,2
7,5,IGHD1-26*01,1
2,1,IGHD1-7*01,1
7,1,IGHD4-4*01,1
0,17,IGHD3-10*01,2
5,3,IGHD6-19*01,2
8,5,IGHD3-10*02,3
20,0,IGHD2-2*03,1
8,2,IGHD3-10*02,1
2,2,IGHD6-13*01,2
13,2,IGHD2-8*02,1
19,6,IGHD3-16*01,1
4,8,IGHD2-2*03,1
2,0,IGHD1-26*01,4
4,3,IGHD1-26*01,12
2,11,IGHD2-15*01,2
9,5,IGHD6-19*01,1
6,1,IGHD2-21*02,1
7,10,IGHD3-10*02,1
12,12,IGHD3-3*02,1
13,2,IGHD2-15*01,6
3,6,IGHD1-1*01,1
1,5,IGHD2-21*01,1
9,1,IGHD3/OR15-3b*01,1
7,1,IGHD4-23*01,3
14,3,IGHD3/OR15-3b*01,2
8,12,IGHD2-2*03,1
2,8,IGHD3/OR15-3b*01,2
1,0,IGHD1/OR15-1b*01,1
7,17,IGHD3-3*02,2
12,2,IGHD3-10*02,1
0,0,IGHD3-10*01,7
2,4,IGHD6-25*01,1
4,16,IGHD2-21*02,2
18,0,IGHD2-2*03,1
20,7,IGHD2/OR15-2b*01,1
11,8,IGHD3-3*02,1
0,4,IGHD3-16*02,4
0,7,IGHD6-6*01,1
10,12,IGHD3/OR15-3b*01,5
0,7,IGHD2-8*02,2
4,5,IGHD6-13*01,1
5,10,IGHD5-24*01,1
7,0,IGHD2-8*02,1
19,3,IGHD3-16*02,1
0,8,IGHD3-16*02,1
13,0,IGHD2-21*02,3
0,7,IGHD6-13*01,1
6,18,IGHD3-9*01,1
11,3,IGHD2/OR15-2b*01,2
0,0,IGHD2-15*01,4
4,0,IGHD3-10*01,3
6,4,IGHD6-25*01,1
2,7,IGHD4-23*01,1
3,5,IGHD6-13*01,3
1,15,IGHD3/OR15-3b*01,2
13,1,IGHD2-8*01,2
3,10,IGHD5-24*01,3
7,12,IGHD3-10*02,1
17,8,IGHD2-2*03,1
9,6,IGHD3-22*01,3
11,4,IGHD2-21*01,2
1,1,IGHD2-21*02,2
3,10,IGHD3-10*01,4
9,9,IGHD3-3*02,2
5,4,IGHD2-15*01,3
0,13,IGHD2-15*01,1
12,9,IGHD3/OR15-3b*01,1
0,7,IGHD2-2*02,4
4,5,IGHD2-21*02,1
8,10,IGHD2/OR15-2b*01,1
14,7,IGHD3-16*02,3
9,1,IGHD2-8*01,1
1,21,IGHD3-22*01,3
0,4,IGHD4-17*01,5
8,5,IGHD3-9*01,2
2,9,IGHD3-9*01,1
