d_5p_del,d_3p_del,d_gene,count
1,19,IGHD3-16*02,1
8,6,IGHD3-10*01,3
9,7,IGHD5-12*01,4
12,6,IGHD3-3*02,2
2,2,IGHD6-19*01,4
8,7,IGHD3-16*02,1
0,15,IGHD3-10*01,1
8,8,IGHD3-22*01,1
2,11,IGHD3-22*01,4
11,5,IGHD3-9*01,2
4,11,IGHD3-10*01,2
6,5,IGHD3-9*01,6
1,2,IGHD6-19*01,5
0,6,IGHD2-8*02,2
8,8,IGHD3-16*02,3
11,2,IGHD3-3*02,2
5,14,IGHD3-3*02,1
12,8,IGHD3-9*01,2
2,1,IGHD3-10*01,7
1,0,IGHD2-21*01,2
0,4,IGHD7-27*01,3
2,2,IGHD6-13*01,1
11,4,IGHD3-9*01,2
11,2,IGHD2-2*02,3
1,3,IGHD6-19*01,5
2,14,IGHD3-22*01,3
5,1,IGHD5-12*01,2
10,5,IGHD3-10*01,19
8,5,IGHD2-15*01,1
6,9,IGHD2-2*03,4
26,0,IGHD2/OR15-2b*01,1
12,14,IGHD3-9*01,2
14,2,IGHD3/OR15-3b*01,2
2,3,IGHD6-19*01,8
0,5,IGHD1-26*01,2
9,0,IGHD1-7*01,1
10,7,IGHD2-2*03,3
3,0,IGHD2-2*03,6
0,5,IGHD6-13*01,7
5,0,IGHD1-7*01,5
0,0,IGHD1-1*01,9
2,6,IGHD3-10*01,10
4,8,IGHD3-9*01,1
2,12,IGHD3-22*01,6
3,23,IGHD3-16*02,3
6,3,IGHD6-13*01,23
11,8,IGHD3-9*01,3
12,0,IGHD2-21*02,1
4,4,IGHD5-24*01,4
2,8,IGHD4-23*01,1
7,0,IGHD5-5*01,1
8,1,IGHD1-26*01,1
3,10,IGHD3-22*01,6
4,6,IGHD2-8*01,2
9,9,IGHD3-10*02,1
9,3,IGHD5-12*01,3
12,5,IGHD5/OR15-5b*01,1
0,16,IGHD3-10*01,1
19,0,IGHD3/OR15-3b*01,3
6,2,IGHD2-2*02,18
6,3,IGHD3-10*01,6
3,3,IGHD1-26*01,7
11,12,IGHD3/OR15-3b*01,6
13,6,IGHD5/OR15-5b*01,1
4,8,IGHD3-10*01,3
4,3,IGHD2-8*01,1
7,8,IGHD3-10*01,4
2,12,IGHD2-15*01,2
0,9,IGHD5-5*01,4
5,7,IGHD3-9*01,2
10,3,IGHD2-2*03,3
3,4,IGHD4-17*01,9
3,0,IGHD7-27*01,21
1,1,IGHD2-2*02,8
9,20,IGHD3-16*02,1
9,1,IGHD6-19*01,2
4,3,IGHD3-22*01,2
10,8,IGHD3-16*01,1
4,6,IGHD5/OR15-5b*01,2
4,0,IGHD6-6*01,4
6,6,IGHD3-3*01,1
2,2,IGHD5/OR15-5b*01,1
3,3,IGHD3-10*01,1
3,4,IGHD5/OR15-5b*01,3
3,13,IGHD5-24*01,5
12,14,IGHD3-3*02,1
3,8,IGHD3-9*01,3
2,4,IGHD5-12*01,1
3,0,IGHD3/OR15-3b*01,1
22,0,IGHD2-21*02,1
0,2,IGHD1-1*01,1
14,0,IGHD5-24*01,1
1,3,IGHD6-13*01,15
4,10,IGHD3-10*01,2
10,10,IGHD3-10*01,26
2,0,IGHD6-13*01,21
0,12,IGHD2-15*01,1
3,0,IGHD6-13*01,20
9,6,IGHD3-10*01,5
6,2,IGHD6-19*01,3
10,12,IGHD3-16*02,1
0,5,IGHD3-10*01,12
3,13,IGHD3-10*01,9
10,10,IGHD2-2*03,4
5,14,IGHD2-2*03,2
0,4,IGHD3-10*01,14
12,1,IGHD2-15*01,1
7,1,IGHD2-2*02,2
