v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV3-NL1*01,IGHD3-3*02,IGHJ5*02_F,68,0,16,3,1,21,5,1
IGHV7-4-1*92,IGHD3-22*01,IGHJ4*02_F,-1,0,7,15,16,0,16,1
IGHV1-8*91,IGHD3-22*01,IGHJ1*01_F,72,0,9,7,0,15,10,1
IGHV3-NL1*01,IGHD7-27*01,IGHJ4*02_F,42,0,3,0,6,11,1,1
IGHV3-64*02,IGHD3-3*01,IGHJ4*02_F,70,0,0,3,0,6,8,1
IGHV4-30-4*06,IGHD2-21*02,IGHJ5*02_F,69,1,8,5,0,24,0,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,44,0,4,15,5,9,0,1
IGHV3-64*02,IGHD2-15*01,IGHJ4*02_F,66,0,6,1,7,14,7,1
IGHV3-64*04,IGHD6-13*01,IGHJ4*02_F,36,3,0,8,8,6,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,75,1,0,14,10,21,5,2
IGHV5-78*01,IGHD3/OR15-3b*01,IGHJ3*02_F,-1,83,6,10,26,6,25,1
IGHV1-18*01,IGHD3-22*01,IGHJ4*02_F,48,1,3,5,9,4,3,1
IGHV4-b*02,IGHD3-10*02,IGHJ4*02_F,45,4,9,3,1,1,5,1
IGHV3-9*02,IGHD2-2*03,IGHJ3*02_F,76,0,5,6,2,7,19,1
IGHV4-30-4*06,IGHD4-17*01,IGHJ4*02_F,39,0,3,0,4,0,2,1
IGHV3-66*03,IGHD3-22*01,IGHJ3*02_F,75,0,0,0,0,12,2,1
IGHV3-h*01,IGHD6-19*01,IGHJ4*02_F,73,1,4,0,5,5,29,1
IGHV3-20*91,IGHD2-2*03,IGHJ6*02_F,75,2,17,0,10,23,7,1
IGHV3-66*04,IGHD6-19*01,IGHJ4*02_F,36,1,4,0,11,0,3,1
IGHV4-4*07,IGHD3-3*01,IGHJ4*02_F,-1,0,3,13,23,3,21,1
IGHV3-9*02,IGHD3-9*01,IGHJ2*01_F,69,4,1,10,2,6,14,1
IGHV3-74*03,IGHD1-14*01,IGHJ4*02_F,36,0,6,6,8,4,7,1
IGHV3-74*03,IGHD2-21*02,IGHJ6*02_F,36,0,5,16,15,1,0,1
IGHV3-7*03,IGHD3-10*01,IGHJ5*02_F,-1,18,4,16,2,0,27,1
IGHV1-3*01,IGHD3-9*01,IGHJ4*02_F,75,4,1,10,0,17,14,2
IGHV4-59*10,IGHD3-16*02,IGHJ4*02_F,44,4,17,6,0,6,0,1
IGHV3-20*91,IGHD3-22*01,IGHJ6*02_F,68,1,12,5,6,15,3,1
IGHV3-h*02,IGHD2-2*03,IGHJ6*02_F,44,0,7,12,18,0,7,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ3*01_F,75,0,2,5,0,11,10,3
IGHV3-23*04,IGHD4-17*01,IGHJ6*02_F,67,4,3,3,3,17,4,6
IGHV3-NL1*01,IGHD3-16*02,IGHJ6*02_F,56,0,9,15,11,0,11,1
IGHV3-h*02,IGHD2-15*01,IGHJ4*02_F,36,0,10,9,13,7,2,1
IGHV3-71*03,IGHD3-9*01,IGHJ4*03_F,-1,23,0,8,16,3,41,1
IGHV1-8*91,IGHD3-22*01,IGHJ4*02_F,69,1,0,0,2,4,9,2
IGHV3-53*01,IGHD3-22*01,IGHJ5*02_F,90,1,3,7,2,28,13,2
IGHV3/OR16-13*91,IGHD3-9*01,IGHJ6*03_F,-1,137,16,0,26,32,23,2
IGHV4-61*02,IGHD5/OR15-5b*01,IGHJ4*02_F,45,0,2,6,1,3,0,1
IGHV3-h*02,IGHD2-15*01,IGHJ6*03_F,75,0,13,1,7,6,16,1
IGHV1/OR15-3*02,IGHD3-3*01,IGHJ6*03_F,75,1,6,5,4,11,6,1
IGHV3-NL1*01,IGHD4-23*01,IGHJ4*02_F,36,1,1,6,5,2,0,1
IGHV1-c*01,IGHD7-27*01,IGHJ4*02_F,-1,0,3,2,7,0,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,74,4,1,5,0,10,0,1
IGHV3-23*04,IGHD2-2*03,IGHJ3*02_F,73,0,6,3,2,13,10,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ3*02_F,-1,8,0,3,24,7,22,1
IGHV4/OR15-8*03,IGHD5-12*01,IGHJ4*02_F,69,2,9,4,0,25,8,1
IGHV3-23*04,IGHD6-13*01,IGHJ6*02_F,69,0,7,3,1,13,3,1
IGHV3-16*02,IGHD1-1*01,IGHJ6*03_F,60,2,4,4,1,7,4,1
IGHV1-8*91,IGHD2-15*01,IGHJ4*02_F,75,0,0,0,0,14,2,1
IGHV3-53*01,IGHD2-2*03,IGHJ5*02_F,75,1,12,6,5,31,6,1
IGHV4-34*13,IGHD2-15*01,IGHJ5*02_F,48,3,3,6,5,3,0,1
IGHV3-h*02,IGHD3-22*01,IGHJ3*02_F,61,0,1,7,3,1,10,1
IGHV3-66*03,IGHD2-2*02,IGHJ3*02_F,75,2,1,2,0,18,1,1
IGHV3-20*91,IGHD3-16*02,IGHJ4*02_F,39,3,17,7,7,4,4,1
IGHV3-h*01,IGHD3-9*01,IGHJ6*02_F,75,1,0,9,0,10,1,1
IGHV1-18*01,IGHD2-2*03,IGHJ4*02_F,48,0,4,6,4,1,2,1
IGHV7-4-1*91,IGHD7-27*01,IGHJ4*02_F,37,1,0,2,4,4,1,1
IGHV3-71*01,IGHD3-22*01,IGHJ6*03_F,75,1,6,8,2,13,5,1
IGHV4-4*07,IGHD2-15*01,IGHJ4*03_F,-1,1,20,0,16,10,12,1
IGHV3-15*07,IGHD2-2*03,IGHJ6*03_F,73,1,4,0,1,0,5,1
IGHV4-61*02,IGHD6-25*01,IGHJ6*03_F,69,0,3,0,3,10,4,5
IGHV4-30-4*06,IGHD5-12*01,IGHJ6*03_F,75,0,3,9,7,20,8,1
IGHV3-NL1*01,IGHD3-10*02,IGHJ6*02_F,73,1,6,12,1,19,1,2
IGHV3/OR16-9*01,IGHD6-19*01,IGHJ6*02_F,72,0,6,0,5,2,21,1
IGHV1-c*01,IGHD3/OR15-3b*01,IGHJ4*02_F,-1,0,2,12,6,9,6,1
IGHV1-69*13,IGHD3-10*01,IGHJ5*02_F,57,0,6,9,0,8,2,1
IGHV4-30-4*06,IGHD6-13*01,IGHJ6*02_F,69,0,3,0,6,9,5,1
IGHV3/OR16-8*01,IGHD6-19*01,IGHJ6*02_F,-1,18,8,0,7,29,11,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,51,1,5,12,5,15,0,1
IGHV3-7*03,IGHD7-27*01,IGHJ6*04_F,-1,28,6,4,9,0,0,1
IGHV3-33*06,IGHD2-21*02,IGHJ6*03_F,72,0,5,5,4,4,11,1
IGHV3-33*03,IGHD3/OR15-3b*01,IGHJ4*02_F,44,1,11,10,2,8,1,1
IGHV3-9*02,IGHD5-5*01,IGHJ6*03_F,75,9,3,1,4,20,7,1
IGHV3-20*91,IGHD3-3*01,IGHJ6*03_F,75,2,6,2,10,17,4,1
IGHV3-13*04,IGHD2-2*03,IGHJ4*02_F,56,0,1,6,11,9,6,3
IGHV3-9*02,IGHD2-15*01,IGHJ4*02_F,66,1,4,1,4,9,6,1
IGHV4-61*08,IGHD6-13*01,IGHJ5*02_F,48,3,3,0,11,7,6,1
IGHV3/OR16-9*01,IGHD3-3*02,IGHJ6*03_F,-1,18,16,0,2,26,7,1
IGHV3-23*04,IGHD3-10*01,IGHJ5*02_F,48,0,6,10,4,6,0,1
IGHV3-h*01,IGHD1-26*01,IGHJ4*02_F,36,0,6,5,8,1,6,1
IGHV3-NL1*01,IGHD5/OR15-5b*01,IGHJ3*01_F,36,0,16,0,10,0,9,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,69,1,0,1,1,4,9,1
IGHV3-71*03,IGHD1-26*01,IGHJ4*02_F,42,7,9,2,3,5,10,1
IGHV3-33*06,IGHD3-22*01,IGHJ3*02_F,72,1,10,6,0,20,8,1
IGHV3-23*04,IGHD3-3*01,IGHJ4*02_F,-1,129,3,2,7,27,1,7
IGHV3-h*02,IGHD3-3*01,IGHJ6*03_F,75,1,0,1,3,1,5,1
IGHV3/OR16-12*01,IGHD2-15*01,IGHJ6*03_F,72,4,1,6,7,13,5,1
IGHV1-c*01,IGHD6-6*01,IGHJ6*03_F,-1,0,0,15,20,1,1,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,57,0,2,8,17,5,5,1
IGHV3-h*02,IGHD3-3*01,IGHJ3*02_F,45,1,3,15,0,0,3,1
IGHV1-2*01,IGHD6-6*01,IGHJ4*02_F,-1,10,12,4,5,0,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ3*02_F,75,0,6,7,1,26,2,2
IGHV3-h*01,IGHD3/OR15-3b*01,IGHJ6*03_F,75,1,11,10,4,18,9,1
IGHV4-59*10,IGHD2-21*02,IGHJ5*02_F,54,1,1,9,0,4,2,1
IGHV3-66*03,IGHD2-2*03,IGHJ6*03_F,75,0,1,3,1,4,2,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*03_F,75,0,1,9,1,11,1,1
IGHV3-33*05,IGHD3-3*02,IGHJ4*02_F,36,1,12,13,8,3,8,1
IGHV1-69*13,IGHD6-13*01,IGHJ4*02_F,42,0,6,0,2,1,0,1
IGHV4-61*08,IGHD5-12*01,IGHJ4*02_F,44,3,9,3,1,2,7,1
IGHV3-71*01,IGHD3-3*01,IGHJ6*03_F,66,0,7,7,4,6,4,1
IGHV4/OR15-8*03,IGHD2-2*02,IGHJ6*02_F,69,1,0,1,5,1,1,1
IGHV4-34*13,IGHD6-19*01,IGHJ6*03_F,87,1,7,2,3,18,18,1
IGHV3-43*91,IGHD4-23*01,IGHJ4*02_F,36,9,8,0,1,1,4,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,75,0,1,6,6,10,4,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ5*02_F,57,1,8,9,0,7,6,2
IGHV4-30-4*06,IGHD3-16*02,IGHJ3*02_F,69,0,1,6,1,7,3,1
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ6*03_F,70,4,0,10,13,17,6,2
IGHV3-49*05,IGHD2-15*01,IGHJ6*03_F,75,0,0,3,2,6,0,1
IGHV4-59*09,IGHD3-9*01,IGHJ6*03_F,69,0,6,3,1,3,2,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,75,0,5,0,5,23,3,3
IGHV3-9*02,IGHD1-26*01,IGHJ4*02_F,45,0,5,5,4,8,1,1
IGHV1-3*01,IGHD3-16*01,IGHJ4*02_F,44,0,17,5,4,5,0,1
IGHV3-30-3*02,IGHD3/OR15-3b*01,IGHJ4*02_F,-1,119,0,17,1,20,8,1
IGHV1-69*13,IGHD4-17*01,IGHJ5*02_F,51,0,1,2,5,7,5,1
IGHV3-9*02,IGHD3-3*02,IGHJ4*03_F,-1,0,15,0,16,1,13,1
IGHV3-23*04,IGHD1-20*01,IGHJ4*02_F,57,1,0,2,4,6,13,1
IGHV4-59*09,IGHD2-2*03,IGHJ6*02_F,69,0,9,5,4,5,8,1
IGHV3-25*05,IGHD2-2*02,IGHJ6*03_F,-1,14,10,2,1,9,5,1
IGHV1-18*01,IGHD3-3*02,IGHJ4*02_F,42,1,11,6,6,7,0,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ3*01_F,57,0,3,2,0,5,7,1
IGHV3-71*02,IGHD5-12*01,IGHJ4*02_F,-1,1,0,3,25,15,36,1
IGHV3-48*03,IGHD3-9*01,IGHJ4*02_F,-1,0,1,6,18,18,21,2
IGHV1/OR15-2*03,IGHD3-3*01,IGHJ5*02_F,72,0,2,7,0,11,8,1
IGHV3-h*02,IGHD5-12*01,IGHJ6*02_F,72,0,0,6,4,4,12,1
IGHV3-23*04,IGHD2-2*03,IGHJ6*03_F,71,0,1,0,21,11,8,1
IGHV3-30*05,IGHD3/OR15-3b*01,IGHJ4*02_F,37,4,11,10,8,6,5,1
IGHV5-78*01,IGHD3/OR15-3b*01,IGHJ6*02_F,-1,77,14,10,37,8,24,1
IGHV4/OR15-8*03,IGHD2/OR15-2b*01,IGHJ4*02_F,39,1,0,24,0,4,1,1
IGHV3-h*01,IGHD3-16*02,IGHJ6*03_F,75,0,12,5,6,4,14,1
IGHV1-18*01,IGHD3-22*01,IGHJ4*02_F,51,0,0,8,7,6,1,1
IGHV3-20*01,IGHD2/OR15-2b*01,IGHJ4*02_F,-1,11,4,3,8,8,32,1
IGHV3-23*04,IGHD6-25*01,IGHJ6*02_F,66,4,5,4,0,13,5,1
IGHV7-4-1*92,IGHD1/OR15-1b*01,IGHJ4*02_F,-1,2,7,4,0,5,0,1
IGHV4-30-4*06,IGHD3-3*01,IGHJ6*03_F,54,0,3,13,10,0,6,1
IGHV3-h*02,IGHD4-17*01,IGHJ3*02_F,69,0,0,1,1,12,13,2
IGHV4-34*13,IGHD2-2*02,IGHJ4*02_F,86,0,0,7,3,19,18,1
IGHV3/OR16-10*03,IGHD1-1*01,IGHJ4*02_F,36,0,3,4,4,2,0,1
IGHV3-64*04,IGHD3-22*01,IGHJ6*02_F,-1,1,0,6,36,4,22,1
IGHV3-h*02,IGHD7-27*01,IGHJ4*02_F,36,0,2,0,6,2,3,1
IGHV3-h*02,IGHD3-9*01,IGHJ4*02_F,75,0,6,2,0,18,6,1
IGHV3-71*01,IGHD6-19*01,IGHJ6*02_F,57,0,7,6,3,5,4,1
IGHV1-18*01,IGHD6-19*01,IGHJ4*02_F,51,0,0,4,6,12,0,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ4*02_F,56,2,0,4,4,5,12,1
IGHV3-h*01,IGHD3-22*01,IGHJ6*02_F,75,0,3,5,8,15,2,1
IGHV3-64*04,IGHD4-23*01,IGHJ4*02_F,57,0,2,4,6,14,8,1
IGHV5-51*04,IGHD3-9*01,IGHJ3*02_F,57,2,11,5,3,10,9,1
IGHV1-3*01,IGHD2/OR15-2b*01,IGHJ4*02_F,24,1,28,0,8,0,2,1
IGHV3-71*01,IGHD3-16*02,IGHJ4*02_F,71,0,17,2,6,18,13,1
IGHV4-30-4*06,IGHD3-22*01,IGHJ4*02_F,72,0,0,0,4,9,8,1
IGHV3-53*03,IGHD4-17*01,IGHJ4*02_F,36,0,0,2,11,5,0,1
IGHV3-23*03,IGHD2-15*01,IGHJ4*02_F,45,0,13,2,8,6,5,3
IGHV1-2*04,IGHD3-3*01,IGHJ4*02_F,42,0,7,8,10,3,7,1
IGHV4-59*08,IGHD5/OR15-5b*01,IGHJ4*03_F,-1,1,3,4,16,2,15,1
IGHV3-53*91,IGHD2-2*02,IGHJ5*02_F,-1,11,0,4,0,9,5,1
IGHV3-53*01,IGHD6-19*01,IGHJ4*02_F,36,1,9,3,5,5,0,1
IGHV3-73*02,IGHD2/OR15-2b*01,IGHJ4*02_F,51,1,24,0,0,15,2,2
IGHV3-h*01,IGHD3-16*02,IGHJ4*02_F,73,2,1,6,5,7,15,1
IGHV3-h*02,IGHD3-22*01,IGHJ5*02_F,75,0,3,3,2,18,3,1
IGHV1-NL1*91,IGHD2-2*03,IGHJ4*02_F,51,2,1,5,11,6,5,1
IGHV1/OR15-3*02,IGHD5-24*01,IGHJ6*02_F,75,0,4,0,3,15,4,3
IGHV3-h*02,IGHD2/OR15-2b*01,IGHJ4*02_F,71,0,4,5,6,12,15,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*02_F,75,0,6,1,1,9,0,1
IGHV3-h*02,IGHD3/OR15-3b*01,IGHJ4*02_F,36,0,11,10,4,0,2,73
IGHV4-30-4*06,IGHD2-2*03,IGHJ3*02_F,-1,0,4,10,18,0,15,1
IGHV3-h*01,IGHD3-3*01,IGHJ4*02_F,-1,1,3,7,23,1,18,1
IGHV1-69*13,IGHD4-17*01,IGHJ4*02_F,42,2,0,0,6,5,1,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*02_F,75,0,3,1,1,6,0,2
IGHV3-NL1*01,IGHD2-21*02,IGHJ4*02_F,44,0,10,5,12,15,0,1
IGHV4-61*02,IGHD3-9*01,IGHJ5*02_F,69,1,3,0,4,10,5,1
IGHV3-20*91,IGHD3-16*02,IGHJ4*02_F,44,3,17,13,3,12,3,1
IGHV1-3*01,IGHD3-10*01,IGHJ4*02_F,75,0,2,0,11,11,18,1
IGHV1-2*03,IGHD4-23*01,IGHJ5*02_F,24,4,6,6,14,4,0,1
IGHV3-71*01,IGHD3-22*01,IGHJ4*02_F,73,0,2,1,1,11,7,1
IGHV4-61*08,IGHD3-3*01,IGHJ6*03_F,72,1,0,6,1,2,4,1
IGHV3-20*91,IGHD6-13*01,IGHJ6*03_F,72,1,7,1,0,5,12,1
IGHV4-b*02,IGHD3-16*02,IGHJ4*03_F,-1,1,27,0,16,2,23,1
IGHV4-61*08,IGHD2-2*02,IGHJ3*02_F,70,1,0,1,0,4,7,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,75,0,2,0,0,12,1,1
IGHV4-59*03,IGHD3-16*01,IGHJ4*03_F,-1,0,18,4,16,7,15,1
IGHV4-30-4*06,IGHD6-6*01,IGHJ4*02_F,39,1,8,1,4,0,7,1
IGHV3-h*02,IGHD2-2*02,IGHJ4*02_F,46,0,11,2,5,4,1,1
IGHV3-23*04,IGHD3-3*01,IGHJ6*03_F,57,0,6,5,12,3,3,1
IGHV4-61*02,IGHD2-2*03,IGHJ5*02_F,48,1,16,3,0,4,2,3
IGHV3-71*01,IGHD6-19*01,IGHJ6*03_F,69,0,0,1,1,1,6,1
IGHV3-9*02,IGHD2-2*03,IGHJ6*03_F,75,2,1,6,6,1,13,1
IGHV4-59*10,IGHD6-25*01,IGHJ4*02_F,39,4,8,0,1,1,5,1
IGHV3-74*03,IGHD1-26*01,IGHJ4*02_F,44,3,5,2,8,14,0,1
IGHV3-64*04,IGHD1-26*01,IGHJ4*02_F,57,0,5,3,7,15,9,1
IGHV4-34*13,IGHD3/OR15-3b*01,IGHJ6*02_F,69,0,14,4,3,16,0,1
IGHV1-2*03,IGHD5-24*01,IGHJ4*02_F,25,3,3,13,4,0,0,1
IGHV3-64*04,IGHD3-10*01,IGHJ6*02_F,69,1,10,5,7,11,7,1
IGHV3-74*03,IGHD2/OR15-2b*01,IGHJ4*02_F,36,0,20,1,7,1,4,1
IGHV3-9*02,IGHD3-9*01,IGHJ5*02_F,44,0,6,19,3,8,0,1
IGHV3-11*04,IGHD1-26*01,IGHJ4*02_F,36,0,0,4,12,3,1,1
IGHV3-71*01,IGHD2-2*03,IGHJ6*03_F,75,1,2,3,1,8,0,1
IGHV4-30-2*03,IGHD2-21*02,IGHJ4*02_F,70,1,10,0,3,23,5,1
IGHV3-h*01,IGHD2-2*03,IGHJ6*03_F,75,0,7,5,0,3,10,1
IGHV3-43*02,IGHD5-5*01,IGHJ4*02_F,66,0,0,0,3,18,1,1
IGHV4-61*08,IGHD3-22*01,IGHJ4*02_F,48,0,4,4,7,4,0,1
IGHV3-15*07,IGHD3/OR15-3b*01,IGHJ6*03_F,73,1,9,10,10,17,12,1
IGHV3-23*03,IGHD1-26*01,IGHJ4*03_F,-1,1,2,3,16,1,19,1
IGHV7-4-1*92,IGHD3-10*02,IGHJ3*01_F,-1,1,12,7,4,0,1,1
IGHV4-59*08,IGHD6-13*01,IGHJ6*02_F,69,0,3,0,4,4,8,1
IGHV3-11*01,IGHD3-16*01,IGHJ4*02_F,36,4,12,5,14,0,6,2
IGHV3-66*03,IGHD4-17*01,IGHJ3*02_F,57,0,3,0,1,9,6,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ3*01_F,75,0,3,11,0,12,16,1
IGHV3-33*06,IGHD2-2*03,IGHJ6*03_F,66,0,11,0,5,1,7,1
IGHV3-23*04,IGHD1-26*01,IGHJ4*02_F,57,0,5,0,0,10,4,2
IGHV1-18*01,IGHD3-9*01,IGHJ3*02_F,51,1,12,5,0,4,4,1
IGHV1-69*13,IGHD6-19*01,IGHJ4*02_F,48,3,7,2,4,15,0,1
IGHV3-h*01,IGHD6-13*01,IGHJ3*02_F,36,5,1,4,9,3,1,1
IGHV4/OR15-8*03,IGHD3-16*02,IGHJ4*02_F,44,1,17,4,5,1,5,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ4*03_F,45,8,6,4,4,19,0,1
IGHV1-3*02,IGHD6-6*01,IGHJ1*01_F,-1,13,12,0,7,0,7,1
IGHV3-66*03,IGHD6-13*01,IGHJ4*02_F,75,0,0,1,7,10,24,1
IGHV3-53*01,IGHD1-1*01,IGHJ4*02_F,36,0,3,4,4,2,0,2
IGHV3-74*03,IGHD6-25*01,IGHJ4*02_F,51,3,1,3,6,17,1,1
IGHV4-59*09,IGHD3-9*01,IGHJ5*01_F,44,0,5,12,3,2,0,1
IGHV1-18*01,IGHD2/OR15-2b*01,IGHJ6*03_F,42,3,1,27,2,0,1,2
IGHV3-66*04,IGHD3-10*01,IGHJ4*02_F,73,1,0,0,0,12,3,1
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ4*02_F,69,0,2,0,5,10,7,1
IGHV4-30-4*06,IGHD3/OR15-3b*01,IGHJ5*02_F,-1,1,13,10,26,5,27,1
IGHV4/OR15-8*03,IGHD3-10*02,IGHJ4*02_F,44,1,14,0,6,2,5,2
IGHV3/OR16-12*01,IGHD3-9*01,IGHJ4*02_F,72,0,1,3,5,12,12,1
IGHV1-8*91,IGHD4-17*01,IGHJ4*02_F,51,0,1,2,0,1,9,2
IGHV3-53*04,IGHD5-5*01,IGHJ4*02_F,36,1,0,10,4,0,3,1
IGHV3-43*91,IGHD6-19*01,IGHJ6*02_F,66,1,6,0,3,3,7,2
IGHV3-74*03,IGHD2-15*01,IGHJ6*02_F,75,0,4,0,4,7,2,1
IGHV1-69*13,IGHD6-13*01,IGHJ4*02_F,42,0,7,3,1,0,4,1
IGHV7-4-1*93,IGHD1/OR15-1b*01,IGHJ4*02_F,-1,4,7,1,16,1,19,1
IGHV4-61*02,IGHD3-9*01,IGHJ3*01_F,69,1,1,3,0,8,5,1
IGHV3-20*91,IGHD1-26*01,IGHJ4*02_F,45,0,4,2,2,0,5,1
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,45,1,8,2,7,5,7,1
IGHV3-h*02,IGHD6-19*01,IGHJ1*01_F,73,0,0,3,4,16,11,1
IGHV3/OR15-7*01,IGHD2-21*01,IGHJ2*01_F,-1,8,17,1,5,4,11,1
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,75,2,0,0,4,5,17,1
IGHV3-23*04,IGHD2-2*03,IGHJ6*02_F,72,5,4,2,0,6,3,1
IGHV4-30-2*91,IGHD3-9*01,IGHJ4*02_F,69,0,1,1,1,10,3,1
IGHV3-71*01,IGHD3-10*01,IGHJ6*02_F,-1,13,7,5,19,30,16,1
IGHV3-52*01,IGHD2-15*01,IGHJ6*03_F,75,0,7,4,0,6,6,1
IGHV3-19*01,IGHD5-12*01,IGHJ4*02_F,54,0,8,2,5,18,0,1
IGHV1-46*02,IGHD6-25*01,IGHJ6*03_F,57,0,10,0,4,2,8,1
IGHV3-d*01,IGHD3-22*01,IGHJ4*02_F,75,0,0,6,0,4,20,1
IGHV4-30-4*06,IGHD3-10*01,IGHJ4*02_F,69,0,2,0,4,11,5,1
IGHV6-1*02,IGHD2-2*03,IGHJ6*03_F,66,1,10,6,2,11,0,1
IGHV4-4*01,IGHD4-4*01,IGHJ1*01_F,44,1,2,0,11,9,1,1
IGHV3-h*01,IGHD3/OR15-3b*01,IGHJ4*02_F,36,0,11,10,5,0,3,1
IGHV3-h*02,IGHD3-22*01,IGHJ4*02_F,69,1,1,0,11,8,15,1
IGHV3-33*06,IGHD2-2*02,IGHJ4*02_F,-1,0,11,1,16,4,9,1
IGHV4/OR15-8*03,IGHD6-13*01,IGHJ6*03_F,66,1,7,0,7,4,13,1
IGHV4-61*02,IGHD6-25*01,IGHJ6*02_F,-1,0,3,0,31,10,31,1
IGHV4-61*08,IGHD1-26*01,IGHJ4*02_F,42,0,4,3,6,0,7,2
IGHV3-64*04,IGHD6-19*01,IGHJ4*02_F,45,0,7,0,8,5,6,1
IGHV1-f*01,IGHD3-9*01,IGHJ4*02_F,24,4,6,17,12,0,6,5
IGHV4-61*02,IGHD2-15*01,IGHJ4*02_F,69,1,7,1,0,11,8,2
IGHV3-9*91,IGHD3-9*01,IGHJ3*02_F,73,4,0,7,3,12,12,1
IGHV3-30*15,IGHD3-9*01,IGHJ4*02_F,75,0,1,3,0,13,7,1
IGHV3-66*04,IGHD3-22*01,IGHJ6*02_F,-1,0,1,9,33,11,31,1
IGHV3-h*02,IGHD2-2*03,IGHJ4*02_F,69,0,1,5,4,13,7,1
IGHV3-64*04,IGHD4-23*01,IGHJ4*02_F,45,1,6,6,6,11,6,1
IGHV3-71*01,IGHD3-22*01,IGHJ6*02_F,57,0,5,5,11,2,2,1
IGHV3-h*01,IGHD3-3*01,IGHJ6*03_F,75,1,0,7,0,5,4,1
IGHV2-70*12,IGHD5/OR15-5b*01,IGHJ6*03_F,75,3,12,0,7,2,27,1
IGHV3-13*04,IGHD2-2*02,IGHJ6*03_F,73,1,0,0,9,1,8,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,-1,0,2,4,21,9,32,1
IGHV3-64*04,IGHD2-2*03,IGHJ4*02_F,-1,1,1,10,17,4,12,1
IGHV3-h*01,IGHD2-2*02,IGHJ4*02_F,73,2,5,2,0,11,12,1
IGHV3-64*04,IGHD5/OR15-5b*01,IGHJ3*02_F,36,0,11,4,4,1,1,1
IGHV3-48*01,IGHD3-3*01,IGHJ4*02_F,44,1,6,11,11,8,6,1
IGHV4-59*10,IGHD6-19*01,IGHJ3*02_F,69,1,0,0,1,7,13,1
IGHV4-61*07,IGHD3-10*01,IGHJ4*02_F,-1,1,5,6,16,0,13,1
IGHV1-69*13,IGHD1-20*01,IGHJ4*02_F,45,7,1,0,5,4,9,1
IGHV4-59*06,IGHD2-15*01,IGHJ3*02_F,-1,8,1,4,0,24,4,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,45,1,8,8,9,9,3,1
IGHV7-4-1*93,IGHD3-16*01,IGHJ4*02_F,-1,35,17,4,10,33,5,1
IGHV1-2*03,IGHD3-16*02,IGHJ1*01_F,25,1,17,15,12,1,0,1
IGHV1-18*01,IGHD5-24*01,IGHJ4*02_F,42,0,0,9,8,8,3,2
IGHV3-23*04,IGHD2-2*03,IGHJ6*02_F,72,0,3,5,6,6,6,2
IGHV3-23*04,IGHD6-19*01,IGHJ6*02_F,57,1,8,0,8,6,4,2
IGHV3-15*07,IGHD2-15*01,IGHJ6*03_F,57,6,11,9,6,4,11,1
IGHV4-30-4*06,IGHD5-24*01,IGHJ3*02_F,38,0,3,10,4,2,3,1
IGHV3-72*01,IGHD3-22*01,IGHJ3*02_F,73,0,4,6,1,20,3,1
IGHV3-52*01,IGHD2-21*02,IGHJ4*02_F,75,0,0,4,0,3,20,1
IGHV5-51*02,IGHD4-17*01,IGHJ3*02_F,54,1,1,3,1,11,3,1
IGHV1-46*02,IGHD7-27*01,IGHJ4*02_F,42,0,0,4,0,5,2,2
IGHV3-53*01,IGHD2-2*03,IGHJ6*02_F,72,1,11,7,0,9,8,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,75,0,4,9,6,10,10,3
IGHV4-59*10,IGHD5-5*01,IGHJ4*03_F,-1,2,6,2,16,4,18,1
IGHV5-51*02,IGHD6-19*01,IGHJ4*03_F,-1,0,2,0,24,0,21,1
IGHV4-30-4*06,IGHD3-10*01,IGHJ5*01_F,44,1,3,15,13,7,7,1
