v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV4-61*08,IGHD6-6*01,IGHJ4*02_F,44,6,7,1,5,7,10,1
IGHV3-h*02,IGHD7-27*01,IGHJ4*02_F,36,0,2,2,4,4,1,1
IGHV3-30*15,IGHD2-15*01,IGHJ4*02_F,73,4,2,4,13,6,31,1
IGHV3-66*03,IGHD1-26*01,IGHJ6*02_F,70,2,0,2,3,8,6,1
IGHV1-18*01,IGHD6-13*01,IGHJ4*02_F,51,0,7,0,4,5,8,1
IGHV3-h*02,IGHD6-25*01,IGHJ4*02_F,24,8,5,4,8,1,2,1
IGHV4-61*08,IGHD4-4*01,IGHJ4*02_F,45,3,4,0,0,4,4,1
IGHV3-9*02,IGHD3-10*02,IGHJ4*02_F,-1,15,0,18,0,0,10,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,69,0,6,0,2,12,6,1
IGHV1-f*01,IGHD6-6*01,IGHJ5*02_F,24,0,4,7,12,0,0,2
IGHV1-18*01,IGHD2/OR15-2b*01,IGHJ1*01_F,51,0,10,6,0,4,0,5
IGHV3-64*91,IGHD6-13*01,IGHJ4*02_F,57,0,1,3,6,10,8,1
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ6*02_F,69,3,9,11,2,9,11,1
IGHV3-74*03,IGHD2-21*02,IGHJ4*02_F,55,7,5,2,4,6,11,1
IGHV3-53*01,IGHD3-22*01,IGHJ4*02_F,69,1,5,0,3,11,8,1
IGHV3-15*07,IGHD6-19*01,IGHJ6*02_F,75,0,0,3,9,13,10,1
IGHV4-61*08,IGHD3/OR15-3b*01,IGHJ4*03_F,69,1,1,6,1,8,11,1
IGHV1-69*13,IGHD3-22*01,IGHJ3*02_F,-1,0,12,5,18,0,18,1
IGHV1-69*10,IGHD1-26*01,IGHJ5*01_F,42,1,5,5,0,2,0,1
IGHV3-h*02,IGHD6-19*01,IGHJ6*02_F,75,0,7,2,5,25,0,1
IGHV4-61*02,IGHD5/OR15-5b*01,IGHJ6*03_F,69,0,4,0,3,9,1,2
IGHV3-9*91,IGHD3-10*01,IGHJ4*02_F,73,2,2,10,4,7,23,2
IGHV3-h*01,IGHD2-21*02,IGHJ4*02_F,36,0,6,9,5,0,0,1
IGHV1-69*13,IGHD6-13*01,IGHJ1*01_F,45,1,11,0,5,7,2,1
IGHV4-61*02,IGHD2-2*02,IGHJ5*02_F,87,1,5,0,6,3,34,1
IGHV4-61*02,IGHD4-4*01,IGHJ6*03_F,69,0,0,0,3,12,1,2
IGHV4-61*02,IGHD6-19*01,IGHJ4*02_F,42,1,0,5,2,1,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ3*02_F,75,0,1,7,4,10,16,1
IGHV1-2*04,IGHD3-16*02,IGHJ4*02_F,-1,25,3,23,6,1,4,1
IGHV1-8*91,IGHD6-13*01,IGHJ4*02_F,69,5,0,2,8,30,5,1
IGHV5-51*04,IGHD5-5*01,IGHJ4*02_F,42,1,1,0,8,2,4,2
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,36,2,9,2,6,3,3,1
IGHV3-h*02,IGHD3-9*01,IGHJ6*02_F,72,0,3,7,1,6,3,1
IGHV3-h*02,IGHD3-10*02,IGHJ6*02_F,66,0,9,10,3,11,4,1
IGHV3-23*04,IGHD2-2*02,IGHJ6*03_F,75,0,1,0,4,1,5,1
IGHV1-45*03,IGHD5/OR15-5b*01,IGHJ5*02_F,-1,80,0,4,0,27,18,1
IGHV3-NL1*01,IGHD5-12*01,IGHJ6*03_F,69,2,9,0,6,9,11,1
IGHV4-61*08,IGHD3-9*01,IGHJ4*03_F,-1,0,12,9,16,10,12,1
IGHV1-2*03,IGHD1/OR15-1b*01,IGHJ3*01_F,51,0,0,5,1,9,1,1
IGHV3-74*03,IGHD2-2*03,IGHJ6*02_F,73,3,1,4,6,9,4,1
IGHV3-64*91,IGHD3-16*02,IGHJ4*02_F,36,2,17,7,8,5,0,1
IGHV3-64*04,IGHD2-2*03,IGHJ6*02_F,69,0,2,4,5,4,2,1
IGHV3/OR16-9*01,IGHD3-10*01,IGHJ4*02_F,45,0,0,12,5,3,4,1
IGHV4-59*10,IGHD1-26*01,IGHJ4*02_F,48,1,8,2,0,6,5,1
IGHV3-66*04,IGHD6-13*01,IGHJ3*02_F,-1,19,6,3,3,2,14,1
IGHV3-23*04,IGHD7-27*01,IGHJ4*02_F,36,0,1,0,8,3,3,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*03_F,72,2,3,2,0,17,3,2
IGHV3-74*03,IGHD1/OR15-1b*01,IGHJ4*02_F,36,1,7,3,4,5,1,1
IGHV3-h*02,IGHD2-15*01,IGHJ4*02_F,45,3,14,4,8,10,5,1
IGHV3-49*05,IGHD3-16*02,IGHJ6*02_F,75,0,6,6,4,3,8,1
IGHV4-39*02,IGHD6-13*01,IGHJ1*01_F,42,0,7,0,8,1,3,1
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,66,0,0,2,1,11,7,1
IGHV3-h*01,IGHD3-3*01,IGHJ4*02_F,-1,1,2,1,23,3,39,1
IGHV7-4-1*92,IGHD3-3*02,IGHJ3*02_F,-1,0,16,10,4,5,1,1
IGHV4-30-4*06,IGHD2-2*03,IGHJ6*02_F,69,1,2,0,5,0,3,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,45,1,17,1,8,6,1,1
IGHV3/OR16-12*01,IGHD6-19*01,IGHJ3*02_F,51,2,2,3,1,7,3,1
IGHV3-23*04,IGHD6-13*01,IGHJ2*01_F,57,0,0,0,3,3,3,1
IGHV5-78*01,IGHD5-24*01,IGHJ6*02_F,-1,81,0,10,37,1,32,1
IGHV3-66*03,IGHD2-2*03,IGHJ6*03_F,75,1,3,1,1,7,0,1
IGHV3-9*02,IGHD3-3*02,IGHJ6*03_F,75,1,12,3,0,11,4,1
IGHV4-61*03,IGHD3-3*01,IGHJ4*02_F,69,0,0,3,8,9,12,1
IGHV4-59*91,IGHD2-15*01,IGHJ5*02_F,69,1,2,4,4,6,12,1
IGHV3-49*05,IGHD3-10*01,IGHJ6*02_F,65,1,7,10,13,0,22,1
IGHV7-4-1*91,IGHD3-9*01,IGHJ4*02_F,-1,52,5,10,5,47,3,1
IGHV3-11*01,IGHD3-16*01,IGHJ4*02_F,39,0,17,7,5,2,1,1
IGHV3-53*01,IGHD3-22*01,IGHJ1*01_F,54,0,3,9,8,9,2,1
IGHV3-7*03,IGHD5/OR15-5b*01,IGHJ6*03_F,45,5,0,11,18,13,0,1
IGHV3-48*01,IGHD3-16*02,IGHJ3*02_F,36,0,17,14,1,0,1,1
IGHV3-23*03,IGHD3-22*01,IGHJ4*02_F,36,0,0,15,14,2,6,1
IGHV3-9*02,IGHD6-19*01,IGHJ4*02_F,45,0,7,3,1,5,0,1
IGHV3-13*04,IGHD2-2*03,IGHJ4*02_F,56,0,1,13,1,9,3,2
IGHV3-73*02,IGHD2-2*03,IGHJ4*02_F,57,1,5,5,0,6,3,1
IGHV4-61*08,IGHD6-13*01,IGHJ6*02_F,69,0,5,0,5,12,3,1
IGHV4-61*08,IGHD6-6*01,IGHJ5*02_F,48,1,2,1,3,1,5,1
IGHV3-49*05,IGHD6-19*01,IGHJ4*02_F,57,3,3,0,2,16,0,1
IGHV3-74*03,IGHD1-26*01,IGHJ6*03_F,33,7,6,0,28,2,9,1
IGHV4/OR15-8*03,IGHD6-19*01,IGHJ4*02_F,45,0,7,0,4,1,6,1
IGHV3-9*02,IGHD2-2*03,IGHJ3*02_F,66,2,7,3,4,8,11,1
IGHV5-51*03,IGHD6-13*01,IGHJ4*02_F,-1,0,2,4,23,10,16,1
IGHV5-78*01,IGHD2-21*02,IGHJ6*03_F,-1,81,0,9,37,1,23,1
IGHV3-h*01,IGHD4-17*01,IGHJ4*02_F,75,1,3,1,3,6,33,1
IGHV3-23*04,IGHD4-17*01,IGHJ4*02_F,43,0,6,4,4,7,6,1
IGHV3-11*01,IGHD2-2*03,IGHJ5*02_F,36,0,10,14,4,1,1,1
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,69,1,4,7,11,22,11,5
IGHV3-NL1*01,IGHD2-21*01,IGHJ4*02_F,-1,72,0,2,2,25,8,1
IGHV3-64*04,IGHD3-22*01,IGHJ6*02_F,57,0,12,3,2,0,0,1
