v_5p_del,v_gene,count
236,IGHV1-2*04,1
233,IGHV3-53*01,2
221,IGHV1-24*01,4
209,IGHV2-5*91,1
215,IGHV3-72*01,13
188,IGHV3-64*04,1
254,IGHV4-30-2*91,1
227,IGHV3-53*01,1
211,IGHV4-59*08,1
206,IGHV4-61*08,12
242,IGHV3-66*03,1
236,IGHV4-59*10,4
230,IGHV1-2*04,1
227,IGHV1-2*04,2
242,IGHV3-h*01,1
218,IGHV3-30*15,1
179,IGHV1-69*13,10
224,IGHV1/OR15-3*02,1
218,IGHV6-1*02,1
218,IGHV1-18*01,55
209,IGHV3-64*05,1
194,IGHV3-53*01,2
208,IGHV3-71*03,1
224,IGHV1-8*91,3
221,IGHV1/OR15-1*04,15
221,IGHV3-19*01,97
236,IGHV3-15*07,8
245,IGHV1-2*03,3
239,IGHV1-2*03,6
199,IGHV3-h*01,1
224,IGHV4-55*01,1
200,IGHV3-NL1*01,86
227,IGHV3-h*02,339
197,IGHV3-13*04,3
185,IGHV1-f*01,1
188,IGHV1-8*02,2
224,IGHV1/OR15-2*03,2
254,IGHV4-39*02,2
232,IGHV3-h*01,3
152,IGHV4-30-4*06,48
233,IGHV1-NL1*91,1
209,IGHV1/OR15-3*02,2
231,IGHV3-43*91,1
237,IGHV4-61*08,7
197,IGHV3-23*02,4
215,IGHV6-1*02,3
236,IGHV1/OR15-3*02,7
236,IGHV3-43*91,2
221,IGHV1-18*01,390
209,IGHV1-45*02,1
203,IGHV3-49*05,1
224,IGHV1-24*01,15
200,IGHV3-33*02,20
230,IGHV3-21*03,8
203,IGHV5-51*02,1
206,IGHV1-3*01,30
227,IGHV3-15*05,39
200,IGHV3-7*03,34
245,IGHV6-1*02,5
206,IGHV1-69*13,87
221,IGHV4-61*08,6
236,IGHV3-30*05,2
167,IGHV4-61*06,11
137,IGHV4-59*09,22
206,IGHV5-51*04,12
215,IGHV3-53*02,3
209,IGHV3-9*91,38
209,IGHV3-43*02,4
245,IGHV3-49*05,27
209,IGHV4-59*08,4
215,IGHV3/OR16-10*03,1
218,IGHV4-34*05,2
143,IGHV4-61*06,2
140,IGHV4-61*06,40
217,IGHV3-66*03,2
212,IGHV3-33*05,1
200,IGHV5-51*03,4
221,IGHV7-4-1*02,1
185,IGHV3-11*04,2
190,IGHV3-15*07,1
221,IGHV1/OR15-3*02,1
230,IGHV5-51*04,12
224,IGHV2-26*01,9
200,IGHV3-48*01,3
188,IGHV1-2*03,12
218,IGHV3-66*04,122
236,IGHV3-71*02,2
163,IGHV4-61*07,1
230,IGHV1-18*01,2
164,IGHV4-30-4*06,45
218,IGHV4-34*11,12
238,IGHV3-NL1*01,4
231,IGHV3-53*01,1
200,IGHV3-64*91,3
224,IGHV1-f*01,4
236,IGHV4/OR15-8*03,170
188,IGHV3-48*01,1
221,IGHV4-39*07,1
164,IGHV4-61*06,11
209,IGHV3-66*03,3
200,IGHV1-8*91,1
239,IGHV3-NL1*01,248
220,IGHV1-18*01,1
134,IGHV4-61*07,2
206,IGHV4-39*01,1
203,IGHV3-33*06,3
170,IGHV4-34*13,10
212,IGHV2-5*10,2
224,IGHV3-NL1*01,3
233,IGHV1-24*01,5
230,IGHV3-48*02,5
246,IGHV1-2*03,1
208,IGHV3-23*03,7
206,IGHV7-81*01,1
211,IGHV4-30-2*01,1
221,IGHV1/OR15-3*01,16
224,IGHV1/OR15-3*01,49
203,IGHV3-48*02,1
212,IGHV4-59*10,2
238,IGHV3-74*03,2
215,IGHV4-61*08,39
209,IGHV1/OR15-9*01,3
182,IGHV3-66*03,3
224,IGHV5-a*04,2
242,IGHV3-49*05,2
218,IGHV4-39*07,1
209,IGHV1-58*02,5
200,IGHV3-23*04,94
234,IGHV3-23*04,1
206,IGHV4-30-2*91,1
236,IGHV3-h*02,189
239,IGHV1/OR15-1*04,1
209,IGHV4/OR15-8*02,24
188,IGHV3-30*19,1
179,IGHV4-34*13,2
206,IGHV4/OR15-8*03,11
191,IGHV3-h*01,2
230,IGHV6-1*02,20
221,IGHV3-33*06,678
209,IGHV3-53*04,1
212,IGHV4-30-2*91,19
214,IGHV3-72*01,3
200,IGHV1-18*01,1
209,IGHV4-61*02,18
214,IGHV3-15*05,1
235,IGHV5-a*02,4
233,IGHV3-9*02,6
170,IGHV4-30-4*06,2
245,IGHV3-15*05,6
227,IGHV4-39*02,1
233,IGHV4-34*11,1
233,IGHV3-23*04,46
206,IGHV3-73*02,3
209,IGHV4-55*01,3
212,IGHV3-64*04,1
198,IGHV3-66*03,1
200,IGHV3-30-3*01,2
260,IGHV6-1*02,1
206,IGHV3-33*03,1
215,IGHV3/OR16-12*01,4
206,IGHV3-h*02,1040
188,IGHV3/OR16-9*01,2
227,IGHV3-30*13,2
212,IGHV7-81*01,1
218,IGHV1/OR15-1*04,4
221,IGHV1-2*04,20
218,IGHV4-30-2*91,1
212,IGHV3-71*01,2
230,IGHV3-33*05,57
233,IGHV1/OR15-3*03,1
188,IGHV1-46*02,6
236,IGHV4-30-4*02,1
200,IGHV4-34*09,6
233,IGHV3/OR16-15*02,1
217,IGHV4-61*02,3
188,IGHV4-61*08,1
212,IGHV5-51*03,3
221,IGHV3-74*03,13
224,IGHV4-39*01,1
200,IGHV3-53*02,1
197,IGHV3/OR16-10*03,1
220,IGHV3-33*02,1
239,IGHV1-58*02,1
218,IGHV3-53*02,505
189,IGHV1-69*10,1
239,IGHV3-64*04,189
209,IGHV3-20*91,166
211,IGHV4-39*01,2
212,IGHV3-52*01,1
212,IGHV1-69*10,6
218,IGHV4/OR15-8*02,3
140,IGHV4-34*13,1
230,IGHV3-53*03,3
197,IGHV3-11*01,1
230,IGHV3-20*91,184
218,IGHV3-33*05,1
209,IGHV3-72*01,4
137,IGHV4-34*13,19
194,IGHV3-h*01,3
233,IGHV4-30-2*91,8
188,IGHV1-18*01,8
206,IGHV3-49*05,11
212,IGHV1-18*01,42
239,IGHV4-30-2*03,4
209,IGHV4-55*08,5
232,IGHV3-NL1*01,1
203,IGHV3-9*02,2
236,IGHV1/OR15-1*02,2
230,IGHV3-49*05,1
230,IGHV3-h*01,40
221,IGHV1/OR21-1*01,5
206,IGHV5-51*03,11
224,IGHV3-71*03,3
206,IGHV3-15*07,22
203,IGHV1-8*91,1
185,IGHV3-30-3*01,4
205,IGHV4-59*08,3
209,IGHV2-10*01,1
230,IGHV4-34*11,5
209,IGHV1-69*10,168
239,IGHV3-64*02,2
206,IGHV1-2*04,8
149,IGHV4-4*91,2
203,IGHV1-3*01,3
209,IGHV1-3*02,90
243,IGHV3-15*07,1
221,IGHV1-3*01,46
212,IGHV5-51*04,1
238,IGHV3-23*04,5
203,IGHV1-69*13,12
227,IGHV3-7*03,2
215,IGHV1/OR15-4*01,20
200,IGHV3-64*04,54
212,IGHV2-70*12,10
236,IGHV3/OR16-8*01,1
212,IGHV3-48*02,3
218,IGHV3-66*01,228
226,IGHV1/OR15-1*04,1
200,IGHV3-66*01,1
206,IGHV1/OR15-3*03,1
230,IGHV4-61*02,1
208,IGHV3-33*06,2
220,IGHV3-30*15,1
149,IGHV4-34*13,1
230,IGHV3-53*04,2
200,IGHV4/OR15-8*02,1
230,IGHV3-9*02,445
203,IGHV1-24*01,12
230,IGHV3-64*04,31
239,IGHV4-30-2*91,18
224,IGHV2-5*10,5
214,IGHV3-73*02,1
